Quantity,Category,Discount,Region,Segment,Ship Mode,State,Sub-Category,Sales
3,Furniture,0.2,East,Consumer,Standard Class,Pennsylvania,Furnishings,124.2
2,Office Supplies,0.2,East,Consumer,Standard Class,Pennsylvania,Envelopes,3.264
6,Office Supplies,0.2,East,Consumer,Standard Class,Pennsylvania,Art,86.304
2,Office Supplies,0.2,East,Consumer,Standard Class,Pennsylvania,Art,15.76
3,Office Supplies,0.2,Central,Home Office,Second Class,Texas,Paper,29.472
7,Technology,0.2,Central,Corporate,First Class,Texas,Phones,1097.544
5,Furniture,0.6,Central,Corporate,First Class,Texas,Furnishings,190.92
9,Office Supplies,0.2,Central,Home Office,Standard Class,Texas,Envelopes,113.328
3,Furniture,0.32,Central,Home Office,Standard Class,Texas,Bookcases,532.3992
3,Furniture,0.3,Central,Home Office,Standard Class,Texas,Chairs,212.058
4,Technology,0.2,Central,Home Office,Standard Class,Texas,Phones,371.168
4,Technology,0.2,Central,Corporate,Standard Class,Illinois,Phones,147.168
2,Office Supplies,0.0,West,Corporate,Standard Class,California,Storage,77.88
2,Office Supplies,0.2,South,Corporate,Standard Class,Florida,Storage,95.616
2,Technology,0.0,Central,Corporate,First Class,Minnesota,Accessories,45.98
2,Office Supplies,0.0,Central,Corporate,First Class,Minnesota,Binders,17.46
4,Office Supplies,0.0,Central,Consumer,Second Class,Michigan,Storage,211.96
3,Technology,0.0,East,Consumer,Standard Class,Delaware,Accessories,45.0
2,Technology,0.0,East,Consumer,Standard Class,Delaware,Phones,21.8
6,Office Supplies,0.0,Central,Consumer,Standard Class,Indiana,Binders,38.22
6,Office Supplies,0.0,Central,Consumer,Standard Class,Indiana,Labels,75.18
2,Furniture,0.0,Central,Consumer,Standard Class,Indiana,Furnishings,6.16
1,Furniture,0.0,Central,Consumer,Standard Class,Indiana,Chairs,89.99
7,Office Supplies,0.0,East,Corporate,Standard Class,New York,Fasteners,15.26
5,Technology,0.0,East,Corporate,Standard Class,New York,Phones,1029.95
6,Office Supplies,0.0,East,Consumer,First Class,New York,Storage,208.56
5,Office Supplies,0.0,East,Consumer,First Class,New York,Paper,32.4
5,Furniture,0.1,East,Consumer,First Class,New York,Chairs,319.41
2,Office Supplies,0.0,East,Consumer,First Class,New York,Paper,14.56
2,Technology,0.0,East,Consumer,First Class,New York,Accessories,30.0
4,Office Supplies,0.2,East,Consumer,First Class,New York,Binders,48.48
1,Office Supplies,0.0,East,Consumer,First Class,New York,Art,1.68
2,Technology,0.0,West,Consumer,Standard Class,California,Accessories,13.98
6,Office Supplies,0.2,West,Consumer,Standard Class,California,Binders,25.824
3,Office Supplies,0.0,West,Consumer,Standard Class,California,Paper,146.73
4,Furniture,0.0,West,Consumer,Standard Class,California,Furnishings,79.76
5,Furniture,0.3,Central,Home Office,Standard Class,Illinois,Chairs,213.115
8,Office Supplies,0.2,West,Corporate,Standard Class,Arizona,Art,1113.024
4,Technology,0.2,West,Corporate,Standard Class,Arizona,Phones,167.968
2,Office Supplies,0.0,South,Consumer,First Class,Virginia,Paper,75.88
1,Office Supplies,0.2,East,Consumer,Standard Class,New York,Binders,4.616
3,Office Supplies,0.0,Central,Consumer,Second Class,Michigan,Paper,19.05
8,Furniture,0.2,South,Consumer,Standard Class,Tennessee,Chairs,831.936
2,Furniture,0.2,South,Consumer,Standard Class,Tennessee,Furnishings,97.04
1,Office Supplies,0.2,South,Consumer,Standard Class,Tennessee,Storage,72.784
3,Office Supplies,0.8,Central,Corporate,First Class,Texas,Binders,1.248
3,Office Supplies,0.2,Central,Corporate,First Class,Texas,Storage,27.24
5,Furniture,0.6,Central,Consumer,Second Class,Texas,Furnishings,19.3
1,Office Supplies,0.0,South,Corporate,First Class,Alabama,Appliances,208.16
3,Office Supplies,0.0,South,Corporate,First Class,Alabama,Binders,16.74
5,Office Supplies,0.0,West,Consumer,Standard Class,California,Art,14.9
1,Office Supplies,0.0,West,Consumer,Standard Class,California,Storage,21.39
7,Office Supplies,0.2,South,Corporate,Standard Class,North Carolina,Envelopes,200.984
3,Office Supplies,0.2,Central,Home Office,First Class,Illinois,Storage,230.376
2,Furniture,0.0,South,Consumer,Second Class,South Carolina,Chairs,301.96
1,Technology,0.0,Central,Consumer,Standard Class,Minnesota,Accessories,19.99
2,Office Supplies,0.0,Central,Consumer,Standard Class,Minnesota,Labels,6.16
7,Office Supplies,0.2,Central,Home Office,Second Class,Texas,Storage,158.368
3,Office Supplies,0.0,West,Corporate,Standard Class,California,Art,20.1
2,Technology,0.2,West,Corporate,Standard Class,California,Phones,73.584
1,Office Supplies,0.0,West,Corporate,Standard Class,California,Paper,6.48
2,Office Supplies,0.0,Central,Consumer,Second Class,Minnesota,Paper,12.96
3,Furniture,0.0,Central,Consumer,Second Class,Minnesota,Furnishings,53.34
2,Office Supplies,0.0,Central,Consumer,Second Class,Minnesota,Binders,32.96
1,Office Supplies,0.7,West,Home Office,Standard Class,Oregon,Binders,5.682
7,Furniture,0.0,East,Home Office,Second Class,New York,Furnishings,96.53
3,Office Supplies,0.2,West,Consumer,First Class,California,Binders,51.312
6,Office Supplies,0.0,Central,Corporate,Standard Class,Minnesota,Appliances,77.88
7,Office Supplies,0.2,Central,Home Office,Standard Class,Illinois,Paper,64.624
3,Technology,0.2,Central,Home Office,Standard Class,Illinois,Accessories,95.976
3,Office Supplies,0.8,Central,Home Office,Standard Class,Illinois,Binders,1.788
4,Office Supplies,0.0,Central,Consumer,Second Class,Minnesota,Paper,23.92
6,Technology,0.2,West,Consumer,Standard Class,Colorado,Accessories,238.896
3,Furniture,0.2,West,Consumer,Standard Class,Colorado,Furnishings,102.36
8,Technology,0.2,South,Consumer,Standard Class,North Carolina,Accessories,74.112
1,Technology,0.2,South,Consumer,Standard Class,North Carolina,Phones,27.992
1,Office Supplies,0.2,South,Consumer,Standard Class,North Carolina,Art,3.304
5,Technology,0.2,Central,Home Office,Standard Class,Illinois,Accessories,339.96
2,Furniture,0.0,East,Corporate,Standard Class,New York,Furnishings,41.96
2,Office Supplies,0.0,Central,Consumer,Standard Class,Iowa,Art,75.96
6,Office Supplies,0.0,Central,Consumer,Standard Class,Iowa,Binders,27.24
14,Office Supplies,0.2,East,Consumer,Second Class,Ohio,Fasteners,40.096
2,Office Supplies,0.2,East,Consumer,Second Class,Ohio,Envelopes,4.72
3,Office Supplies,0.2,East,Consumer,Second Class,Ohio,Paper,23.976
6,Office Supplies,0.2,East,Consumer,Second Class,Ohio,Envelopes,130.464
3,Furniture,0.0,West,Consumer,Standard Class,Washington,Tables,787.53
1,Office Supplies,0.7,South,Corporate,Standard Class,Tennessee,Binders,157.794
3,Furniture,0.0,East,Consumer,First Class,Delaware,Furnishings,47.04
4,Office Supplies,0.0,East,Consumer,First Class,Delaware,Binders,30.84
6,Office Supplies,0.0,East,Consumer,First Class,Delaware,Storage,226.56
9,Office Supplies,0.0,East,Consumer,First Class,Delaware,Envelopes,115.02
7,Technology,0.0,East,Consumer,First Class,Delaware,Phones,68.04
3,Furniture,0.3,Central,Home Office,Second Class,Texas,Chairs,600.558
6,Furniture,0.5,Central,Consumer,Standard Class,Illinois,Tables,617.7
2,Office Supplies,0.7,West,Consumer,Standard Class,Arizona,Binders,2.388
7,Office Supplies,0.2,West,Consumer,Standard Class,Arizona,Storage,243.992
2,Furniture,0.2,West,Home Office,Second Class,California,Chairs,81.424
3,Furniture,0.0,West,Home Office,Second Class,California,Furnishings,238.56
5,Technology,0.4,East,Corporate,First Class,Ohio,Phones,59.97
2,Office Supplies,0.2,East,Corporate,First Class,Ohio,Paper,78.304
9,Office Supplies,0.2,East,Corporate,First Class,Ohio,Fasteners,21.456
3,Office Supplies,0.0,West,Consumer,Standard Class,California,Paper,20.04
1,Office Supplies,0.0,West,Consumer,Standard Class,California,Paper,35.44
4,Office Supplies,0.0,West,Consumer,Standard Class,California,Art,11.52
2,Office Supplies,0.0,West,Consumer,Standard Class,California,Fasteners,4.02
3,Office Supplies,0.2,West,Consumer,Standard Class,California,Binders,76.176
6,Office Supplies,0.0,West,Consumer,Standard Class,California,Supplies,65.88
14,Furniture,0.0,West,Consumer,Standard Class,California,Furnishings,43.12
2,Furniture,0.2,East,Corporate,Second Class,Pennsylvania,Furnishings,82.8
3,Office Supplies,0.0,West,Corporate,Standard Class,California,Art,8.82
3,Office Supplies,0.0,West,Corporate,Standard Class,California,Envelopes,10.86
3,Office Supplies,0.0,West,Corporate,Standard Class,California,Paper,143.7
3,Office Supplies,0.0,Central,Consumer,Standard Class,Missouri,Appliances,839.43
7,Office Supplies,0.0,West,Consumer,Standard Class,California,Storage,671.93
4,Furniture,0.2,East,Home Office,Standard Class,Ohio,Furnishings,93.888
11,Technology,0.0,Central,Corporate,Standard Class,Wisconsin,Phones,384.45
3,Technology,0.0,Central,Corporate,Standard Class,Wisconsin,Phones,149.97
8,Furniture,0.0,Central,Corporate,Standard Class,Wisconsin,Chairs,1951.84
5,Office Supplies,0.0,Central,Corporate,Standard Class,Wisconsin,Binders,171.55
5,Office Supplies,0.2,West,Home Office,First Class,Arizona,Appliances,157.92
2,Technology,0.2,West,Home Office,First Class,Arizona,Phones,203.184
7,Office Supplies,0.0,West,Corporate,First Class,California,Paper,58.38
4,Office Supplies,0.0,West,Corporate,First Class,California,Paper,105.52
6,Office Supplies,0.0,West,Corporate,First Class,California,Storage,80.88
3,Office Supplies,0.0,West,Home Office,Standard Class,Washington,Art,6.63
2,Furniture,0.2,West,Consumer,Second Class,Washington,Chairs,457.568
2,Office Supplies,0.0,Central,Consumer,Standard Class,Oklahoma,Labels,14.62
7,Technology,0.0,Central,Consumer,Standard Class,Oklahoma,Phones,944.93
1,Office Supplies,0.0,West,Consumer,First Class,California,Paper,5.98
2,Technology,0.2,East,Consumer,Second Class,Pennsylvania,Accessories,54.384
5,Office Supplies,0.0,West,Consumer,Standard Class,New Mexico,Envelopes,28.4
2,Office Supplies,0.2,West,Consumer,Standard Class,Washington,Binders,27.68
3,Office Supplies,0.2,Central,Consumer,Standard Class,Texas,Art,9.936
8,Technology,0.4,Central,Consumer,Standard Class,Texas,Machines,8159.952
3,Office Supplies,0.2,Central,Consumer,Standard Class,Texas,Storage,275.928
9,Furniture,0.3,Central,Consumer,Standard Class,Texas,Chairs,1740.06
6,Office Supplies,0.2,Central,Consumer,Standard Class,Texas,Art,32.064
5,Office Supplies,0.8,Central,Consumer,Standard Class,Texas,Appliances,177.98
3,Technology,0.2,Central,Consumer,Standard Class,Texas,Phones,143.976
3,Office Supplies,0.0,West,Consumer,Standard Class,California,Paper,20.94
2,Office Supplies,0.0,West,Consumer,Standard Class,California,Paper,110.96
7,Furniture,0.2,West,Consumer,Standard Class,California,Chairs,340.144
2,Office Supplies,0.8,Central,Corporate,Standard Class,Illinois,Appliances,52.448
4,Office Supplies,0.2,Central,Corporate,Standard Class,Illinois,Labels,20.16
4,Office Supplies,0.8,Central,Consumer,Second Class,Texas,Appliances,97.264
7,Furniture,0.3,East,Consumer,Second Class,Ohio,Chairs,396.802
5,Office Supplies,0.2,East,Consumer,Second Class,Ohio,Supplies,15.88
1,Office Supplies,0.0,East,Home Office,Standard Class,New York,Art,3.28
2,Office Supplies,0.2,Central,Corporate,Second Class,Illinois,Storage,24.816
7,Technology,0.2,Central,Corporate,Second Class,Illinois,Accessories,408.744
4,Technology,0.0,South,Home Office,Second Class,Louisiana,Phones,503.96
5,Technology,0.0,South,Home Office,Second Class,Louisiana,Phones,149.95
2,Technology,0.0,South,Home Office,Second Class,Louisiana,Accessories,29.0
2,Office Supplies,0.0,East,Consumer,Standard Class,Connecticut,Binders,7.16
8,Technology,0.0,West,Home Office,Standard Class,California,Accessories,176.8
3,Office Supplies,0.2,Central,Corporate,Standard Class,Texas,Storage,37.224
3,Office Supplies,0.2,Central,Corporate,Standard Class,Texas,Paper,20.016
4,Furniture,0.2,East,Home Office,First Class,New York,Bookcases,899.136
6,Technology,0.0,East,Home Office,First Class,New York,Phones,71.76
8,Office Supplies,0.0,East,Home Office,First Class,New York,Paper,51.84
3,Furniture,0.2,East,Home Office,First Class,New York,Bookcases,626.352
5,Office Supplies,0.0,East,Home Office,First Class,New York,Art,19.9
7,Office Supplies,0.0,West,Corporate,Standard Class,California,Envelopes,14.28
2,Office Supplies,0.2,East,Consumer,Standard Class,Ohio,Art,7.408
3,Office Supplies,0.2,East,Consumer,Standard Class,Ohio,Art,6.048
3,Office Supplies,0.0,East,Home Office,Standard Class,New Jersey,Storage,46.26
3,Office Supplies,0.2,East,Corporate,Standard Class,Pennsylvania,Paper,16.056
3,Office Supplies,0.2,East,Consumer,Standard Class,Ohio,Paper,21.744
2,Furniture,0.5,West,Consumer,First Class,Colorado,Tables,218.75
1,Office Supplies,0.2,West,Consumer,First Class,Colorado,Appliances,2.6
2,Office Supplies,0.8,Central,Consumer,Second Class,Texas,Appliances,66.284
7,Furniture,0.2,South,Corporate,Standard Class,Tennessee,Furnishings,35.168
4,Technology,0.2,West,Consumer,Standard Class,California,Phones,444.768
4,Office Supplies,0.0,Central,Consumer,Standard Class,Michigan,Storage,83.92
2,Technology,0.0,Central,Consumer,Standard Class,Michigan,Phones,131.98
4,Office Supplies,0.0,Central,Consumer,Standard Class,Michigan,Binders,15.92
9,Office Supplies,0.0,Central,Consumer,Standard Class,Michigan,Fasteners,52.29
1,Office Supplies,0.0,Central,Consumer,Standard Class,Michigan,Storage,91.99
2,Technology,0.2,Central,Corporate,Second Class,Texas,Accessories,20.8
2,Office Supplies,0.2,East,Corporate,Standard Class,Ohio,Labels,23.68
5,Furniture,0.5,East,Corporate,Standard Class,Ohio,Bookcases,452.45
3,Technology,0.4,East,Corporate,Standard Class,Ohio,Phones,62.982
9,Technology,0.7,East,Corporate,Standard Class,Ohio,Machines,1188.0
2,Technology,0.2,East,Corporate,Standard Class,Ohio,Accessories,89.584
6,Office Supplies,0.0,West,Consumer,Standard Class,California,Storage,93.06
3,Technology,0.2,West,Consumer,Standard Class,California,Phones,302.376
2,Office Supplies,0.2,East,Consumer,First Class,Ohio,Fasteners,5.584
6,Office Supplies,0.2,East,Consumer,First Class,Ohio,Paper,22.704
4,Office Supplies,0.7,East,Consumer,First Class,Ohio,Binders,19.776
4,Furniture,0.2,East,Consumer,First Class,Ohio,Furnishings,72.704
4,Technology,0.7,East,Consumer,First Class,Ohio,Machines,479.988
2,Office Supplies,0.2,East,Consumer,First Class,Ohio,Art,27.168
1,Office Supplies,0.0,Central,Corporate,Standard Class,Michigan,Art,2.2
5,Furniture,0.0,Central,Corporate,Standard Class,Michigan,Tables,622.45
1,Office Supplies,0.0,Central,Corporate,Standard Class,Michigan,Storage,21.98
2,Furniture,0.2,South,Consumer,Standard Class,Tennessee,Chairs,161.568
8,Furniture,0.2,South,Consumer,Standard Class,Tennessee,Chairs,389.696
7,Office Supplies,0.7,South,Corporate,Standard Class,North Carolina,Binders,18.648
2,Furniture,0.45,South,Home Office,Standard Class,Florida,Tables,233.86
3,Furniture,0.45,South,Home Office,Standard Class,Florida,Tables,620.6145
2,Office Supplies,0.7,South,Home Office,Standard Class,Florida,Binders,5.328
3,Furniture,0.2,South,Home Office,Standard Class,Florida,Furnishings,258.072
3,Technology,0.2,South,Home Office,Standard Class,Florida,Accessories,617.976
2,Office Supplies,0.0,West,Corporate,Standard Class,California,Paper,10.56
5,Office Supplies,0.2,Central,Consumer,Second Class,Illinois,Paper,25.92
5,Furniture,0.6,Central,Consumer,Second Class,Illinois,Furnishings,419.68
3,Furniture,0.6,Central,Consumer,Second Class,Illinois,Furnishings,11.688
2,Technology,0.2,Central,Consumer,Second Class,Illinois,Phones,31.984
5,Furniture,0.5,Central,Consumer,Second Class,Illinois,Tables,177.225
3,Furniture,0.6,Central,Consumer,Second Class,Illinois,Furnishings,4.044
2,Office Supplies,0.2,Central,Consumer,Second Class,Illinois,Art,7.408
7,Furniture,0.0,Central,Home Office,Second Class,Minnesota,Chairs,2001.86
2,Office Supplies,0.0,Central,Home Office,Second Class,Minnesota,Storage,166.72
6,Office Supplies,0.0,Central,Home Office,Second Class,Minnesota,Paper,47.88
5,Office Supplies,0.0,Central,Home Office,Second Class,Minnesota,Appliances,1503.25
4,Office Supplies,0.0,Central,Home Office,Second Class,Minnesota,Paper,25.92
2,Furniture,0.2,West,Consumer,Second Class,California,Chairs,321.568
1,Office Supplies,0.0,West,Consumer,Standard Class,California,Paper,7.61
13,Technology,0.0,West,Consumer,Standard Class,California,Accessories,3347.37
6,Office Supplies,0.0,East,Consumer,First Class,New York,Storage,80.58
4,Office Supplies,0.0,East,Consumer,First Class,New York,Envelopes,361.92
9,Furniture,0.6,Central,Corporate,Standard Class,Illinois,Furnishings,12.132
5,Office Supplies,0.2,Central,Corporate,Standard Class,Illinois,Storage,53.92
6,Technology,0.2,Central,Corporate,Standard Class,Illinois,Phones,647.904
3,Technology,0.0,East,Consumer,Second Class,New York,Accessories,20.37
3,Office Supplies,0.0,East,Consumer,Second Class,New York,Storage,221.55
5,Office Supplies,0.2,East,Consumer,Second Class,New York,Binders,17.52
2,Office Supplies,0.8,Central,Corporate,Standard Class,Texas,Appliances,1.624
3,Technology,0.4,Central,Corporate,Second Class,Texas,Machines,3059.982
7,Technology,0.4,Central,Corporate,Second Class,Texas,Machines,2519.958
4,Technology,0.2,Central,Consumer,Standard Class,Illinois,Phones,328.224
2,Technology,0.0,West,Consumer,Standard Class,California,Accessories,79.9
3,Office Supplies,0.2,South,Corporate,Standard Class,North Carolina,Art,14.016
6,Office Supplies,0.0,East,Consumer,Standard Class,New Jersey,Fasteners,7.56
1,Office Supplies,0.2,East,Corporate,Standard Class,Ohio,Storage,37.208
3,Office Supplies,0.2,East,Corporate,Standard Class,Ohio,Envelopes,57.576
4,Office Supplies,0.0,West,Corporate,Second Class,California,Storage,725.84
7,Technology,0.0,West,Consumer,First Class,California,Accessories,209.93
3,Furniture,0.0,West,Consumer,First Class,California,Furnishings,5.28
3,Office Supplies,0.2,West,Consumer,First Class,California,Binders,10.92
1,Office Supplies,0.0,West,Corporate,First Class,California,Art,5.98
2,Office Supplies,0.2,East,Corporate,Standard Class,Pennsylvania,Paper,11.648
6,Office Supplies,0.2,East,Corporate,Standard Class,Pennsylvania,Storage,59.712
3,Office Supplies,0.2,East,Corporate,Standard Class,Pennsylvania,Labels,24.84
5,Office Supplies,0.8,Central,Consumer,Second Class,Texas,Binders,2.08
7,Technology,0.2,Central,Consumer,Second Class,Texas,Phones,1114.4
5,Furniture,0.2,West,Consumer,Standard Class,California,Tables,1038.84
5,Office Supplies,0.2,West,Consumer,Standard Class,Oregon,Paper,141.76
5,Technology,0.2,West,Consumer,Standard Class,Oregon,Accessories,239.8
6,Office Supplies,0.2,West,Consumer,Standard Class,Oregon,Paper,31.104
7,Office Supplies,0.7,South,Corporate,Second Class,Florida,Binders,254.058
2,Office Supplies,0.2,South,Corporate,Second Class,Florida,Appliances,194.528
5,Office Supplies,0.2,South,Corporate,Second Class,Florida,Supplies,961.48
7,Office Supplies,0.2,East,Home Office,Second Class,Ohio,Fasteners,19.096
8,Office Supplies,0.2,East,Home Office,Second Class,Ohio,Labels,18.496
2,Technology,0.2,East,Home Office,Second Class,Ohio,Accessories,255.984
3,Furniture,0.5,East,Home Office,Second Class,Ohio,Bookcases,86.97
8,Furniture,0.2,West,Corporate,First Class,Colorado,Furnishings,300.416
3,Furniture,0.2,West,Corporate,First Class,Colorado,Chairs,230.352
3,Furniture,0.2,West,Corporate,First Class,Colorado,Furnishings,218.352
5,Office Supplies,0.7,West,Corporate,First Class,Colorado,Binders,78.6
3,Office Supplies,0.2,West,Corporate,First Class,Colorado,Fasteners,27.552
5,Office Supplies,0.0,East,Corporate,Standard Class,New Jersey,Paper,32.4
3,Office Supplies,0.0,East,Corporate,Standard Class,New Jersey,Paper,56.91
4,Furniture,0.0,East,Corporate,Standard Class,New Jersey,Furnishings,77.6
1,Office Supplies,0.0,East,Corporate,Standard Class,New Jersey,Binders,14.28
3,Furniture,0.5,Central,Consumer,Standard Class,Illinois,Tables,219.075
2,Furniture,0.0,East,Corporate,Second Class,New York,Furnishings,26.8
3,Office Supplies,0.0,Central,Corporate,Standard Class,Michigan,Art,9.84
3,Office Supplies,0.0,East,Home Office,Standard Class,New Jersey,Binders,45.48
6,Office Supplies,0.0,East,Home Office,Standard Class,New Jersey,Art,289.2
1,Office Supplies,0.0,South,Consumer,First Class,Virginia,Art,4.89
4,Furniture,0.2,West,Corporate,Second Class,Colorado,Furnishings,15.136
2,Furniture,0.2,West,Corporate,Second Class,Colorado,Chairs,466.768
1,Furniture,0.2,West,Corporate,Second Class,Colorado,Furnishings,15.232
3,Office Supplies,0.2,West,Corporate,Second Class,Colorado,Labels,6.264
3,Furniture,0.0,East,Corporate,Standard Class,New Jersey,Furnishings,87.54
2,Technology,0.2,South,Corporate,Standard Class,Florida,Phones,178.384
3,Office Supplies,0.2,South,Corporate,Standard Class,Florida,Paper,15.552
4,Office Supplies,0.2,East,Corporate,First Class,Pennsylvania,Art,99.136
1,Furniture,0.1,East,Home Office,Standard Class,New York,Chairs,135.882
2,Technology,0.0,East,Home Office,Standard Class,New York,Machines,3991.98
6,Technology,0.0,East,Home Office,Standard Class,New York,Phones,275.94
4,Technology,0.0,East,Home Office,Standard Class,New York,Accessories,360.0
1,Office Supplies,0.0,East,Home Office,Standard Class,New York,Storage,43.57
2,Office Supplies,0.0,West,Corporate,Standard Class,California,Fasteners,7.16
6,Office Supplies,0.2,West,Corporate,Standard Class,California,Binders,251.52
1,Technology,0.0,West,Corporate,Standard Class,California,Accessories,99.99
1,Furniture,0.2,South,Corporate,Second Class,Tennessee,Furnishings,15.992
3,Technology,0.4,East,Consumer,First Class,Pennsylvania,Phones,290.898
2,Office Supplies,0.2,East,Consumer,First Class,Pennsylvania,Storage,54.224
4,Furniture,0.3,East,Consumer,First Class,Pennsylvania,Chairs,786.744
10,Office Supplies,0.2,East,Consumer,First Class,Pennsylvania,Labels,100.24
6,Office Supplies,0.7,East,Consumer,First Class,Pennsylvania,Binders,37.764
2,Technology,0.4,East,Consumer,Second Class,Pennsylvania,Phones,82.8
2,Office Supplies,0.7,East,Consumer,Second Class,Pennsylvania,Binders,20.724
3,Office Supplies,0.7,East,Consumer,Second Class,Pennsylvania,Binders,4.896
1,Office Supplies,0.2,West,Consumer,Second Class,California,Binders,4.752
2,Technology,0.2,West,Consumer,Second Class,California,Copiers,959.984
4,Office Supplies,0.2,West,Consumer,Second Class,California,Binders,14.368
2,Office Supplies,0.2,West,Corporate,Standard Class,California,Binders,7.712
3,Furniture,0.2,West,Corporate,Standard Class,California,Tables,698.352
4,Office Supplies,0.2,East,Corporate,Second Class,Pennsylvania,Art,17.856
10,Office Supplies,0.7,East,Corporate,Second Class,Pennsylvania,Binders,509.97
13,Office Supplies,0.2,East,Corporate,Second Class,Pennsylvania,Fasteners,30.992
4,Office Supplies,0.2,Central,Consumer,Standard Class,Texas,Storage,88.8
3,Technology,0.2,West,Consumer,Standard Class,California,Phones,47.976
3,Office Supplies,0.0,East,Consumer,Standard Class,Massachusetts,Art,7.56
2,Office Supplies,0.0,East,Consumer,Standard Class,Massachusetts,Paper,24.56
2,Office Supplies,0.0,East,Consumer,Standard Class,Massachusetts,Art,12.96
1,Technology,0.0,East,Home Office,First Class,New York,Accessories,6.79
2,Office Supplies,0.0,East,Home Office,First Class,New York,Paper,24.56
1,Office Supplies,0.2,East,Home Office,First Class,New York,Binders,3.048
4,Office Supplies,0.0,East,Home Office,First Class,New York,Paper,49.12
4,Office Supplies,0.2,East,Home Office,First Class,New York,Binders,4355.168
6,Furniture,0.2,East,Consumer,Standard Class,New York,Bookcases,388.704
2,Office Supplies,0.0,East,Consumer,Standard Class,New York,Envelopes,8.26
4,Office Supplies,0.0,East,Consumer,Standard Class,New York,Art,17.04
5,Office Supplies,0.0,East,Consumer,Standard Class,New York,Paper,34.4
5,Office Supplies,0.2,South,Corporate,Standard Class,North Carolina,Paper,36.24
8,Office Supplies,0.0,South,Corporate,First Class,Georgia,Appliances,647.84
2,Office Supplies,0.0,South,Corporate,First Class,Georgia,Labels,20.7
2,Office Supplies,0.0,East,Consumer,Standard Class,New York,Labels,20.7
3,Furniture,0.1,East,Consumer,Standard Class,New York,Chairs,488.646
2,Office Supplies,0.0,East,Consumer,Standard Class,New York,Art,5.56
8,Furniture,0.0,East,Consumer,Standard Class,New York,Furnishings,47.12
4,Office Supplies,0.0,West,Consumer,Standard Class,California,Storage,211.96
4,Office Supplies,0.0,East,Corporate,Same Day,Connecticut,Binders,23.2
2,Office Supplies,0.0,East,Corporate,Same Day,Connecticut,Supplies,7.36
7,Office Supplies,0.0,East,Corporate,Same Day,Connecticut,Storage,104.79
4,Furniture,0.0,East,Corporate,Same Day,Connecticut,Bookcases,1043.92
5,Office Supplies,0.2,Central,Consumer,Standard Class,Texas,Paper,25.92
3,Office Supplies,0.2,Central,Consumer,Standard Class,Texas,Storage,53.424
5,Office Supplies,0.7,West,Consumer,Standard Class,Arizona,Binders,8.16
8,Technology,0.2,West,Consumer,Standard Class,Arizona,Accessories,1023.936
1,Office Supplies,0.2,West,Consumer,Standard Class,Arizona,Art,9.24
10,Technology,0.2,West,Consumer,Standard Class,Arizona,Accessories,479.04
4,Office Supplies,0.2,Central,Corporate,First Class,Illinois,Paper,99.136
7,Furniture,0.3,East,Corporate,Standard Class,Massachusetts,Tables,1488.424
3,Office Supplies,0.8,Central,Consumer,Standard Class,Texas,Appliances,8.652
